"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01 00:00:00.000,16167,yandex,cpc,prof-frontend,8942944,16167,16167,634407491
2023-06-01 00:00:00.000,13357,yandex,cpc,prof-python,7482255,13357,13357,87847113
2023-06-01 00:00:00.000,5516,yandex,cpc,freemium,3078030,5516,5516,82449234
2023-06-01 00:00:00.000,10808,yandex,cpc,prof-java,5901932,10808,10808,76698658
2023-06-01 00:00:00.000,2097,yandex,cpc,prof-data-analytics,1174385,2097,2097,39181700
2023-06-01 00:00:00.000,3606,vk,cpc,prof-python,3600721,2250,3606,23544832
2023-06-01 00:00:00.000,5624,vk,cpc,freemium-frontend,3042021,3440,5624,19050828
2023-06-01 00:00:00.000,4887,vk,cpc,freemium-python,1813897,3230,4887,15200346
2023-06-01 00:00:00.000,1158,yandex,cpc,prof-professions-brand,615473,1158,1158,14378883
2023-06-01 00:00:00.000,3827,vk,cpc,prof-data-analytics,2058246,2733,3827,11875424
2023-06-01 00:00:00.000,1826,yandex,cpc,base-frontend,1021366,1826,1826,8418150
2023-06-01 00:00:00.000,2284,vk,cpc,prof-java,1994120,1500,2284,7083870
2023-06-01 00:00:00.000,438,yandex,cpc,base-python,236633,438,438,7060567
2023-06-01 00:00:00.000,285,yandex,cpc,dod-frontend,168142,285,285,6893460
2023-06-01 00:00:00.000,285,yandex,cpc,dod-professions,150723,285,285,4695471
